"","GO.IDs","term","ontology","over_represented_pvalue","GO.Term","GO.Slim.Term","Cat","Species","Site"
"5039","GO:0006952","defense response","BP",0.034325645,"defense response","stress response","P","A.cervicornis","Florida"
"5041","GO:0006954","inflammatory response","BP",0.045397275,"inflammatory response","stress response","P","A.cervicornis","Florida"
"5055","GO:0006965","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","BP",0.02140892,"positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","stress response","P","A.cervicornis","Florida"
"5056","GO:0006965","positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","BP",0.02140892,"positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria","other metabolic processes","P","A.cervicornis","Florida"
"5100","GO:0006996","organelle organization","BP",0.003994456,"organelle organization","cell organization and biogenesis","P","A.cervicornis","Florida"
"5129","GO:0007030","Golgi organization","BP",0.016914428,"Golgi organization","cell organization and biogenesis","P","A.cervicornis","Florida"
"5541","GO:0007390","germ-band shortening","BP",0.032890629,"germ-band shortening","developmental processes","P","A.cervicornis","Florida"
"5611","GO:0007458","progression of morphogenetic furrow involved in compound eye morphogenesis","BP",0.032890629,"progression of morphogenetic furrow during compound eye morphogenesis","developmental processes","P","A.cervicornis","Florida"
"5653","GO:0007501","mesodermal cell fate specification","BP",0.042735035,"mesodermal cell fate specification","developmental processes","P","A.cervicornis","Florida"
"5736","GO:0007591","molting cycle, chitin-based cuticle","BP",0.032890629,"molting cycle, chitin-based cuticle","other biological processes","P","A.cervicornis","Florida"
"5753","GO:0007610","behavior","BP",0.029789836,"behavior","other biological processes","P","A.cervicornis","Florida"
"5754","GO:0007611","learning or memory","BP",0.016329401,"learning or memory","other biological processes","P","A.cervicornis","Florida"
"5985","GO:0008258","head involution","BP",0.032890629,"head involution","developmental processes","P","A.cervicornis","Florida"
"6087","GO:0008362","chitin-based embryonic cuticle biosynthetic process","BP",0.032890629,"chitin-based embryonic cuticle biosynthetic process","developmental processes","P","A.cervicornis","Florida"
"6850","GO:0009247","glycolipid biosynthetic process","BP",0.045450337,"glycolipid biosynthetic process","other metabolic processes","P","A.cervicornis","Florida"
"6870","GO:0009267","cellular response to starvation","BP",0.045587819,"cellular response to starvation","stress response","P","A.cervicornis","Florida"
"7030","GO:0009452","7-methylguanosine RNA capping","BP",0.034668541,"RNA capping","RNA metabolism","P","A.cervicornis","Florida"
"7157","GO:0009629","response to gravity","BP",0.045584324,"response to gravity","other biological processes","P","A.cervicornis","Florida"
"7317","GO:0009792","embryo development ending in birth or egg hatching","BP",0.029388933,"embryonic development ending in birth or egg hatching","developmental processes","P","A.cervicornis","Florida"
"7437","GO:0009909","regulation of flower development","BP",0.030716833,"regulation of flower development","developmental processes","P","A.cervicornis","Florida"
"7462","GO:0009933","meristem structural organization","BP",0.030716833,"meristem structural organization","developmental processes","P","A.cervicornis","Florida"
"7494","GO:0009967","positive regulation of signal transduction","BP",0.02321327,"positive regulation of signal transduction","signal transduction","P","A.cervicornis","Florida"
"7568","GO:0010046","response to mycotoxin","BP",0.023199075,"response to mycotoxin","other biological processes","P","A.cervicornis","Florida"
"7605","GO:0010082","regulation of root meristem growth","BP",0.030716833,"regulation of root meristem growth","developmental processes","P","A.cervicornis","Florida"
"7676","GO:0010154","fruit development","BP",0.021410748,"fruit development","other biological processes","P","A.cervicornis","Florida"
"7825","GO:0010305","leaf vascular tissue pattern formation","BP",0.030716833,"leaf vascular tissue pattern formation","developmental processes","P","A.cervicornis","Florida"
"7858","GO:0010338","leaf formation","BP",0.030716833,"leaf formation","developmental processes","P","A.cervicornis","Florida"
"7878","GO:0010358","leaf shaping","BP",0.030716833,"leaf shaping","developmental processes","P","A.cervicornis","Florida"
"8005","GO:0010466","negative regulation of peptidase activity","BP",0.045201483,"negative regulation of peptidase activity","other biological processes","P","A.cervicornis","Florida"
"8048","GO:0010506","regulation of autophagy","BP",0.005764748,"regulation of autophagy","other metabolic processes","P","A.cervicornis","Florida"
"8186","GO:0010629","negative regulation of gene expression","BP",0.036726776,"negative regulation of gene expression","other metabolic processes","P","A.cervicornis","Florida"
"8204","GO:0010647","positive regulation of cell communication","BP",0.022565333,"positive regulation of cell communication","other biological processes","P","A.cervicornis","Florida"
"8315","GO:0010744","positive regulation of macrophage derived foam cell differentiation","BP",0.024248516,"positive regulation of foam cell differentiation","developmental processes","P","A.cervicornis","Florida"
"8330","GO:0010759","positive regulation of macrophage chemotaxis","BP",0.021654746,"positive regulation of macrophage chemotaxis","other biological processes","P","A.cervicornis","Florida"
"8458","GO:0010847","regulation of chromatin assembly","BP",0.042406086,"regulation of chromatin assembly","cell organization and biogenesis","P","A.cervicornis","Florida"
"8487","GO:0010875","positive regulation of cholesterol efflux","BP",0.001812239,"positive regulation of cholesterol efflux","transport","P","A.cervicornis","Florida"
"8495","GO:0010883","regulation of lipid storage","BP",0.04520816,"regulation of lipid storage","other biological processes","P","A.cervicornis","Florida"
"8498","GO:0010886","positive regulation of cholesterol storage","BP",0.046995633,"positive regulation of cholesterol storage","other biological processes","P","A.cervicornis","Florida"
"8568","GO:0010951","negative regulation of endopeptidase activity","BP",0.003187129,"negative regulation of endopeptidase activity","other biological processes","P","A.cervicornis","Florida"
"8572","GO:0010955","negative regulation of protein processing","BP",0.042535074,"negative regulation of protein maturation by peptide bond cleavage","protein metabolism","P","A.cervicornis","Florida"
"8861","GO:0014857","regulation of skeletal muscle cell proliferation","BP",0.021408568,"regulation of skeletal muscle cell proliferation","cell cycle and proliferation","P","A.cervicornis","Florida"
"8862","GO:0014858","positive regulation of skeletal muscle cell proliferation","BP",0.023199075,"positive regulation of skeletal muscle cell proliferation","cell cycle and proliferation","P","A.cervicornis","Florida"
"9725","GO:0015966","diadenosine tetraphosphate biosynthetic process","BP",0.021654746,"diadenosine tetraphosphate biosynthetic process","other metabolic processes","P","A.cervicornis","Florida"
"9795","GO:0016045","detection of bacterium","BP",0.02140892,"detection of bacterium","other biological processes","P","A.cervicornis","Florida"
"9805","GO:0016055","Wnt signaling pathway","BP",0.04168485,"Wnt receptor signaling pathway","signal transduction","P","A.cervicornis","Florida"
"9820","GO:0016074","snoRNA metabolic process","BP",0.021409265,"snoRNA metabolic process","RNA metabolism","P","A.cervicornis","Florida"
"10920","GO:0018193","peptidyl-amino acid modification","BP",0.014025163,"peptidyl-amino acid modification","protein metabolism","P","A.cervicornis","Florida"
"12556","GO:0019985","translesion synthesis","BP",0.042364837,"bypass DNA synthesis","DNA metabolism","P","A.cervicornis","Florida"
"12557","GO:0019985","translesion synthesis","BP",0.042364837,"bypass DNA synthesis","stress response","P","A.cervicornis","Florida"
"12644","GO:0021537","telencephalon development","BP",0.028170726,"telencephalon development","developmental processes","P","A.cervicornis","Florida"
"13295","GO:0022603","regulation of anatomical structure morphogenesis","BP",0.03029894,"regulation of anatomical structure morphogenesis","other biological processes","P","A.cervicornis","Florida"
"13546","GO:0030162","regulation of proteolysis","BP",0.016539524,"regulation of proteolysis","protein metabolism","P","A.cervicornis","Florida"
"13586","GO:0030207","chondroitin sulfate catabolic process","BP",0.021153966,"chondroitin sulfate catabolic process","other metabolic processes","P","A.cervicornis","Florida"
"13592","GO:0030213","hyaluronan biosynthetic process","BP",0.021153966,"hyaluronan biosynthetic process","other metabolic processes","P","A.cervicornis","Florida"
"13593","GO:0030214","hyaluronan catabolic process","BP",0.021153966,"hyaluronan catabolic process","other metabolic processes","P","A.cervicornis","Florida"
"13659","GO:0030277","maintenance of gastrointestinal epithelium","BP",0.04236284,"maintenance of gastrointestinal epithelium","other biological processes","P","A.cervicornis","Florida"
"13660","GO:0030278","regulation of ossification","BP",0.004434431,"regulation of ossification","developmental processes","P","A.cervicornis","Florida"
"13690","GO:0030308","negative regulation of cell growth","BP",0.023418679,"negative regulation of cell growth","other biological processes","P","A.cervicornis","Florida"
"13789","GO:0030422","production of siRNA involved in RNA interference","BP",0.042361699,"RNA interference, production of siRNA","RNA metabolism","P","A.cervicornis","Florida"
"14217","GO:0030878","thyroid gland development","BP",0.00463762,"thyroid gland development","developmental processes","P","A.cervicornis","Florida"
"14817","GO:0031393","negative regulation of prostaglandin biosynthetic process","BP",0.023199075,"negative regulation of prostaglandin biosynthetic process","other metabolic processes","P","A.cervicornis","Florida"
"14822","GO:0031398","positive regulation of protein ubiquitination","BP",0.036609559,"positive regulation of protein ubiquitination","protein metabolism","P","A.cervicornis","Florida"
"15566","GO:0032071","regulation of endodeoxyribonuclease activity","BP",0.023199075,"regulation of endodeoxyribonuclease activity","other biological processes","P","A.cervicornis","Florida"
"15583","GO:0032088","negative regulation of NF-kappaB transcription factor activity","BP",0.015181716,"negative regulation of NF-kappaB transcription factor activity","RNA metabolism","P","A.cervicornis","Florida"
"15753","GO:0032240","negative regulation of nucleobase-containing compound transport","BP",0.032049452,"negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid transport","transport","P","A.cervicornis","Florida"
"15783","GO:0032269","negative regulation of cellular protein metabolic process","BP",0.004842216,"negative regulation of cellular protein metabolic process","protein metabolism","P","A.cervicornis","Florida"
"15852","GO:0032324","molybdopterin cofactor biosynthetic process","BP",0.023879772,"molybdopterin cofactor biosynthetic process","protein metabolism","P","A.cervicornis","Florida"
"15858","GO:0032330","regulation of chondrocyte differentiation","BP",0.042396549,"regulation of chondrocyte differentiation","developmental processes","P","A.cervicornis","Florida"
"15922","GO:0032386","regulation of intracellular transport","BP",0.004612023,"regulation of intracellular transport","transport","P","A.cervicornis","Florida"
"15997","GO:0032456","endocytic recycling","BP",0.013229814,"endocytic recycling","transport","P","A.cervicornis","Florida"
"16041","GO:0032498","detection of muramyl dipeptide","BP",0.02140892,"detection of muramyl dipeptide","other biological processes","P","A.cervicornis","Florida"
"16260","GO:0032701","negative regulation of interleukin-18 production","BP",0.02140892,"negative regulation of interleukin-18 production","other biological processes","P","A.cervicornis","Florida"
"16287","GO:0032728","positive regulation of interferon-beta production","BP",0.007466085,"positive regulation of interferon-beta production","other biological processes","P","A.cervicornis","Florida"
"16299","GO:0032740","positive regulation of interleukin-17 production","BP",0.02140892,"positive regulation of interleukin-17 production","other biological processes","P","A.cervicornis","Florida"
"16956","GO:0033339","pectoral fin development","BP",0.030458925,"pectoral fin development","developmental processes","P","A.cervicornis","Florida"
"16983","GO:0033365","protein localization to organelle","BP",0.017619837,"protein localization in organelle","other biological processes","P","A.cervicornis","Florida"
"17243","GO:0033554","cellular response to stress","BP",0.00793137,"cellular response to stress","stress response","P","A.cervicornis","Florida"
"17843","GO:0034124","regulation of MyD88-dependent toll-like receptor signaling pathway","BP",0.023448705,"regulation of MyD88-dependent toll-like receptor signaling pathway","signal transduction","P","A.cervicornis","Florida"
"17844","GO:0034124","regulation of MyD88-dependent toll-like receptor signaling pathway","BP",0.023448705,"regulation of MyD88-dependent toll-like receptor signaling pathway","stress response","P","A.cervicornis","Florida"
"18168","GO:0034381","plasma lipoprotein particle clearance","BP",0.024248516,"lipoprotein particle clearance","cell organization and biogenesis","P","A.cervicornis","Florida"
"18178","GO:0034391","regulation of smooth muscle cell apoptotic process","BP",0.023199075,"regulation of smooth muscle cell apoptosis","death","P","A.cervicornis","Florida"
"18813","GO:0034983","peptidyl-lysine deacetylation","BP",0.044116784,"peptidyl-lysine deacetylation","protein metabolism","P","A.cervicornis","Florida"
"18864","GO:0035023","regulation of Rho protein signal transduction","BP",0.029697422,"regulation of Rho protein signal transduction","signal transduction","P","A.cervicornis","Florida"
"19000","GO:0035147","branch fusion, open tracheal system","BP",0.043476762,"branch fusion, open tracheal system","developmental processes","P","A.cervicornis","Florida"
"19130","GO:0035271","ring gland development","BP",0.021408568,"ring gland development","developmental processes","P","A.cervicornis","Florida"
"19212","GO:0040013","negative regulation of locomotion","BP",0.022310891,"negative regulation of locomotion","other biological processes","P","A.cervicornis","Florida"
"19218","GO:0040019","positive regulation of embryonic development","BP",0.024369084,"positive regulation of embryonic development","developmental processes","P","A.cervicornis","Florida"
"19510","GO:0042274","ribosomal small subunit biogenesis","BP",0.024073989,"ribosomal small subunit biogenesis","other biological processes","P","A.cervicornis","Florida"
"19561","GO:0042330","taxis","BP",0.021285279,"taxis","other biological processes","P","A.cervicornis","Florida"
"19623","GO:0042391","regulation of membrane potential","BP",0.003613918,"regulation of membrane potential","other biological processes","P","A.cervicornis","Florida"
"19786","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","BP",0.042744181,"positive regulation of tyrosine phosphorylation of STAT protein","signal transduction","P","A.cervicornis","Florida"
"19787","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","BP",0.042744181,"positive regulation of tyrosine phosphorylation of STAT protein","protein metabolism","P","A.cervicornis","Florida"
"19847","GO:0042595","behavioral response to starvation","BP",0.023199075,"behavioral response to starvation","stress response","P","A.cervicornis","Florida"
"20558","GO:0043282","pharyngeal muscle development","BP",0.021408568,"pharyngeal muscle development","developmental processes","P","A.cervicornis","Florida"
"20616","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP",0.043509597,"protein targeting to vacuole during ubiquitin-dependent protein catabolic process via the MVB pathway","transport","P","A.cervicornis","Florida"
"20617","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP",0.043509597,"protein targeting to vacuole during ubiquitin-dependent protein catabolic process via the MVB pathway","protein metabolism","P","A.cervicornis","Florida"
"20620","GO:0043330","response to exogenous dsRNA","BP",0.003430418,"response to exogenous dsRNA","other biological processes","P","A.cervicornis","Florida"
"20805","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","BP",0.047219471,"negative regulation of DNA damage response, signal transduction by p53 class mediator","signal transduction","P","A.cervicornis","Florida"
"20806","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","BP",0.047219471,"negative regulation of DNA damage response, signal transduction by p53 class mediator","stress response","P","A.cervicornis","Florida"
"20842","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","BP",0.042361924,"positive regulation of phosphoinositide 3-kinase activity","other metabolic processes","P","A.cervicornis","Florida"
"21277","GO:0043972","histone H3-K23 acetylation","BP",0.021414665,"histone H3-K23 acetylation","cell organization and biogenesis","P","A.cervicornis","Florida"
"21278","GO:0043972","histone H3-K23 acetylation","BP",0.021414665,"histone H3-K23 acetylation","protein metabolism","P","A.cervicornis","Florida"
"21420","GO:0044092","negative regulation of molecular function","BP",0.019317243,"negative regulation of molecular function","other biological processes","P","A.cervicornis","Florida"
"21565","GO:0045014","carbon catabolite repression of transcription by glucose","BP",0.031028744,"negative regulation of transcription by glucose","RNA metabolism","P","A.cervicornis","Florida"
"21644","GO:0045087","innate immune response","BP",0.047720622,"innate immune response","stress response","P","A.cervicornis","Florida"
"21908","GO:0045348","positive regulation of MHC class II biosynthetic process","BP",0.045286654,"positive regulation of MHC class II biosynthetic process","other metabolic processes","P","A.cervicornis","Florida"
"22003","GO:0045444","fat cell differentiation","BP",0.043494567,"fat cell differentiation","other biological processes","P","A.cervicornis","Florida"
"22153","GO:0045590","negative regulation of regulatory T cell differentiation","BP",0.023448705,"negative regulation of regulatory T cell differentiation","developmental processes","P","A.cervicornis","Florida"
"22159","GO:0045596","negative regulation of cell differentiation","BP",0.030148793,"negative regulation of cell differentiation","other biological processes","P","A.cervicornis","Florida"
"22353","GO:0045785","positive regulation of cell adhesion","BP",0.007375547,"positive regulation of cell adhesion","cell adhesion","P","A.cervicornis","Florida"
"22526","GO:0045944","positive regulation of transcription by RNA polymerase II","BP",0.034163324,"positive regulation of transcription from RNA polymerase II promoter","RNA metabolism","P","A.cervicornis","Florida"
"22960","GO:0046373","L-arabinose metabolic process","BP",0.021409242,"L-arabinose metabolic process","other metabolic processes","P","A.cervicornis","Florida"
"23059","GO:0046477","glycosylceramide catabolic process","BP",0.044450646,"glycosylceramide catabolic process","other metabolic processes","P","A.cervicornis","Florida"
"24784","GO:0048215","positive regulation of Golgi vesicle fusion to target membrane","BP",0.021427953,"positive regulation of Golgi vesicle fusion to target membrane","cell organization and biogenesis","P","A.cervicornis","Florida"
"24785","GO:0048215","positive regulation of Golgi vesicle fusion to target membrane","BP",0.021427953,"positive regulation of Golgi vesicle fusion to target membrane","transport","P","A.cervicornis","Florida"
"24947","GO:0048367","shoot system development","BP",0.042013392,"shoot development","developmental processes","P","A.cervicornis","Florida"
"24992","GO:0048440","carpel development","BP",0.030716833,"carpel development","developmental processes","P","A.cervicornis","Florida"
"24995","GO:0048443","stamen development","BP",0.030716833,"stamen development","developmental processes","P","A.cervicornis","Florida"
"25005","GO:0048453","sepal formation","BP",0.030716833,"sepal formation","developmental processes","P","A.cervicornis","Florida"
"25028","GO:0048477","oogenesis","BP",0.02890184,"oogenesis","other biological processes","P","A.cervicornis","Florida"
"25089","GO:0048538","thymus development","BP",0.006719674,"thymus development","developmental processes","P","A.cervicornis","Florida"
"25093","GO:0048542","lymph gland development","BP",0.032890629,"lymph gland development","developmental processes","P","A.cervicornis","Florida"
"25140","GO:0048585","negative regulation of response to stimulus","BP",0.029278108,"negative regulation of response to stimulus","other biological processes","P","A.cervicornis","Florida"
"25195","GO:0048643","positive regulation of skeletal muscle tissue development","BP",0.029697422,"positive regulation of skeletal muscle tissue development","developmental processes","P","A.cervicornis","Florida"
"25410","GO:0048806","genitalia development","BP",0.029949103,"genitalia development","developmental processes","P","A.cervicornis","Florida"
"25434","GO:0048827","phyllome development","BP",0.021410748,"phyllome development","developmental processes","P","A.cervicornis","Florida"
"25553","GO:0048935","peripheral nervous system neuron development","BP",0.042367032,"peripheral nervous system neuron development","developmental processes","P","A.cervicornis","Florida"
"26231","GO:0050679","positive regulation of epithelial cell proliferation","BP",0.040360479,"positive regulation of epithelial cell proliferation","cell cycle and proliferation","P","A.cervicornis","Florida"
"26283","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","BP",0.01560516,"positive regulation of peptidyl-tyrosine phosphorylation","protein metabolism","P","A.cervicornis","Florida"
"26363","GO:0050804","modulation of chemical synaptic transmission","BP",0.045280817,"regulation of synaptic transmission","cell-cell signaling","P","A.cervicornis","Florida"
"26431","GO:0050871","positive regulation of B cell activation","BP",0.042373838,"positive regulation of B cell activation","other biological processes","P","A.cervicornis","Florida"
"26432","GO:0050872","white fat cell differentiation","BP",0.023199075,"white fat cell differentiation","other biological processes","P","A.cervicornis","Florida"
"26463","GO:0050907","detection of chemical stimulus involved in sensory perception","BP",0.021285279,"detection of chemical stimulus involved in sensory perception","other biological processes","P","A.cervicornis","Florida"
"26511","GO:0050955","thermoception","BP",0.021285279,"thermoception","other biological processes","P","A.cervicornis","Florida"
"26517","GO:0050961","detection of temperature stimulus involved in sensory perception","BP",0.021285279,"detection of temperature stimulus involved in sensory perception","other biological processes","P","A.cervicornis","Florida"
"26608","GO:0051050","positive regulation of transport","BP",0.026336294,"positive regulation of transport","transport","P","A.cervicornis","Florida"
"26657","GO:0051097","negative regulation of helicase activity","BP",0.023199075,"negative regulation of helicase activity","other biological processes","P","A.cervicornis","Florida"
"26715","GO:0051152","positive regulation of smooth muscle cell differentiation","BP",0.023199075,"positive regulation of smooth muscle cell differentiation","other biological processes","P","A.cervicornis","Florida"
"26962","GO:0051382","kinetochore assembly","BP",0.033559155,"kinetochore assembly","cell organization and biogenesis","P","A.cervicornis","Florida"
"27174","GO:0051574","positive regulation of histone H3-K9 methylation","BP",0.023199075,"positive regulation of histone H3-K9 methylation","cell organization and biogenesis","P","A.cervicornis","Florida"
"27175","GO:0051574","positive regulation of histone H3-K9 methylation","BP",0.023199075,"positive regulation of histone H3-K9 methylation","protein metabolism","P","A.cervicornis","Florida"
"27181","GO:0051580","regulation of neurotransmitter uptake","BP",0.029697422,"regulation of neurotransmitter uptake","transport","P","A.cervicornis","Florida"
"27182","GO:0051580","regulation of neurotransmitter uptake","BP",0.029697422,"regulation of neurotransmitter uptake","cell-cell signaling","P","A.cervicornis","Florida"
"27217","GO:0051607","defense response to virus","BP",0.010345631,"defense response to virus","stress response","P","A.cervicornis","Florida"
"28388","GO:0060074","synapse maturation","BP",0.021427953,"synapse maturation","developmental processes","P","A.cervicornis","Florida"
"28389","GO:0060074","synapse maturation","BP",0.021427953,"synapse maturation","cell organization and biogenesis","P","A.cervicornis","Florida"
"28453","GO:0060125","negative regulation of growth hormone secretion","BP",0.048778735,"negative regulation of growth hormone secretion","transport","P","A.cervicornis","Florida"
"28454","GO:0060125","negative regulation of growth hormone secretion","BP",0.048778735,"negative regulation of growth hormone secretion","cell-cell signaling","P","A.cervicornis","Florida"
"28642","GO:0060291","long-term synaptic potentiation","BP",0.009677982,"long-term synaptic potentiation","cell-cell signaling","P","A.cervicornis","Florida"
"28679","GO:0060324","face development","BP",0.042592659,"face development","other biological processes","P","A.cervicornis","Florida"
"28688","GO:0060333","interferon-gamma-mediated signaling pathway","BP",0.023448705,"interferon-gamma-mediated signaling pathway","signal transduction","P","A.cervicornis","Florida"
"28691","GO:0060336","negative regulation of interferon-gamma-mediated signaling pathway","BP",0.043761092,"negative regulation of interferon-gamma-mediated signaling pathway","signal transduction","P","A.cervicornis","Florida"
"28806","GO:0060440","trachea formation","BP",0.042592659,"trachea formation","developmental processes","P","A.cervicornis","Florida"
"28938","GO:0060548","negative regulation of cell death","BP",0.039230804,"negative regulation of cell death","death","P","A.cervicornis","Florida"
